Change Date,Ticker
2017-06-18,MJN
2017-06-18,R
2017-07-25,RIG
2017-07-25,BBBY
2017-07-25,MUR
2017-07-25,MNK
2017-07-25,RAI
2017-08-07,AN
2017-08-28,WFM
2017-08-31,DD (Old)
2017-09-17,SPLS
2017-10-12,LVLT
2017-12-28,BCR
2018-03-06,SNI
2018-03-18,PDCO
2018-03-18,SIG
2018-03-18,CHK
2018-04-03,CSRA
2018-05-30,WYND
2018-06-04,NAVI
2018-06-06,MON
2018-06-15,RRC
2018-06-15,AYI
2018-06-19,TWX
2018-06-29,DPS
2018-08-27,GGP
2018-09-14,XL
2018-09-28,ANDV
2018-10-10,EVHC
2018-11-05,CA
2018-11-12,EQT
2018-11-30,SRCL
2018-11-30,COL
2018-11-30,AET
2018-12-21,ESRX
2018-12-31,SCG
2019-01-17,PCG
2019-02-14,NFX
2019-02-26,GT
2019-03-19,FOX (Old)
2019-03-19,FOXA (Old)
2019-04-02,BHF
2019-05-31,FLR
2019-06-06,MAT
2019-06-28,LLL
2019-07-12,RHT
2019-08-08,APC
2019-08-08,FL
2019-09-20,TSS
2019-09-25,JEF
2019-10-02,NKTR
2019-11-20,CELG
2019-12-04,VIAB
2019-12-06,STI
2019-12-20,AMG
2019-12-20,TRIP
2019-12-20,MAC
2020-01-27,WCG
2020-03-02,XEC
2020-04-05,RTN
2020-04-05,M
2020-05-11,CPRI
2020-05-11,AGN
2020-05-21,HP
2020-06-19,HOG
2020-06-19,ADS
2020-06-19,JWN
2020-09-18,COTY
2020-09-18,HRB
2020-09-18,KSS
2020-10-06,ETFC
2020-10-09,NBL
2020-12-18,AIV
2021-01-06,TIF
2021-01-20,CXO
2021-02-11,FTI
2021-03-19,VNT
2021-03-19,XRX
2021-03-19,SLG
2021-03-19,FLS
2021-04-19,VAR
2021-05-13,FLIR
2021-06-03,HFC
2021-07-20,ALXN
2021-08-27,MXIM
2021-09-17,PRGO
2021-09-17,NOV
2021-09-17,UNM
2021-12-13,KSU
2021-12-17,WU
2021-12-17,HBI
2021-12-17,LEG
2022-02-02,GPS
2022-02-14,XLNX
2022-02-25,INFO
2022-04-01,PBCT
2022-04-11,DISCK
2022-06-07,CERN
2022-06-17,IPGP
2022-06-17,UA.A
2022-06-17,UA
2022-09-16,PENN
2022-09-16,PVH
2022-09-30,DRE
2022-09-30,CTXS
2022-10-11,NLSN
2022-10-31,TWTR
2022-12-20,MBC
2022-12-20,FBIN
2022-12-21,ABMD
2023-01-04,VNO
2023-03-14,SBNY
2023-03-14,SIVB
2023-03-17,LUMN
2023-05-03,FRC
2023-06-19,DISH
2023-08-24,AAP
2023-09-15,NWL
2023-09-15,LNC
2023-10-02,DXC
2023-10-17,OGN
2023-10-17,ATVI
2023-12-15,SEDG
2023-12-15,ALK
2023-12-15,SEE
2024-03-15,WHR
